Company Name,Job Title,Role,Salaries Reported,Location,Salary
Axis Bank,Data Scientist,Specialist,3,Bangalore,"₹11,71,687/yr"
Globex Digital Solutions,Machine Learning Engineer,Manager,1,Hyderabad,"₹32,57,305/yr"
Tempworks Services,Data Scientist,Manager,1,Bangalore,"₹58,11,205/yr"
BlueOptima,Machine Learning Engineer,Specialist,2,Bangalore,"₹11,80,965/yr"
Dell Technologies,Data Analyst,Specialist,5,New Delhi,"₹6,02,930/yr"
Algo Engines,Data Engineer,Specialist,1,Mumbai,"₹12,00,000/yr"
Amazon,Data Analyst,Specialist,3,Bangalore,"₹2,41,176/yr"
Optum Global Solutions,Data Analyst,Specialist,6,New Delhi,"₹12,18,012/yr"
Dataction Analytics,Data Analyst,Specialist,4,Pune,"₹2,79,712/yr"
Pexitics,Data Scientist,Specialist,1,Bangalore,"₹12,00,000/yr"
Datafoundry,Data Scientist,Specialist,1,Bangalore,"₹11,58,483/yr"
Monocept,Machine Learning Engineer,Specialist,1,Hyderabad,"₹4,21,351/yr"
RDA Labs,Data Scientist,Specialist,1,Bangalore,"₹19,94,432/yr"
QuEST Global,Machine Learning Engineer,Specialist,1,Bangalore,"₹3,67,041/yr"
Rodonaves Transportes e Encomendas - RTE,Machine Learning Engineer,Specialist,1,Bangalore,"₹3,02,693/yr"
Apical Solutions,Machine Learning Engineer,Specialist,1,Mumbai,"₹10,08,975/yr"
AMCORE Financial,Data Scientist,Specialist,1,Bangalore,"₹18,00,000/yr"
PwC,Data Engineer,Specialist,3,Bangalore,"₹7,50,000/yr"
Decimal Point Analytics,Machine Learning Developer,Specialist,1,Mumbai,"₹7,51,286/yr"
EY,Data Analyst,Specialist,3,Bangalore,"₹3,36,468/yr"
Pivosys Technologies,Data Scientist,Specialist,1,Bangalore,"₹9,00,000/yr"
KPIT Technologies,Data Analyst,Specialist,2,Pune,"₹5,00,112/yr"
Fresher Zones,Data Scientist,Specialist,1,Mumbai,"₹10,27,381/yr"
Mindtree,Data Scientist,Manager,1,Hyderabad,"₹28,11,000/yr"
Unilever,Data Analyst,Specialist,3,Bangalore,"₹8,31,051/yr"
Capgemini,Data Engineer,Manager,1,Hyderabad,"₹29,45,647/yr"
